ablation,episodes,events,event_recall,false_alerts_per_clean_mission,median_useful_lead_seconds
no_localisation,324,62,0.3225806451612903,0.19444444444444445,6.754499999999993
no_motion_and_goal,324,62,0.08064516129032258,0.013888888888888888,6.841000000000008
no_perception_confidence,324,62,0.3870967741935484,0.09722222222222222,4.558499999999995
no_planner_controller,324,62,0.3387096774193548,0.09722222222222222,4.292000000000002
no_raw_sensor,324,62,0.06451612903225806,0.0,2.8429999999999964
single_timestamp,324,62,0.04838709677419355,0.08333333333333333,3.8149999999999977
