model_id,median_ms,p95_ms,max_ms
p3_causal_tcn,0.4729975,0.480985,0.488103
p4_gru,0.2548285,0.260031,0.28275
p5_compact_transformer,0.28442199999999995,0.29453454999999995,0.352289
