split,model_id,episodes,events,detected_events,event_recall,false_alerts_per_clean_mission,false_alerts_per_mission,median_useful_lead_seconds,brier_raw,ece_raw,brier_calibrated,ece_calibrated
validation,p3_causal_tcn,324,62,21,0.3387096774193548,0.09722222222222222,0.20679012345679013,5.700999999999993,0.04821537898299292,0.0447612892628453,0.029579626239055325,0.005357780368302284
held_out_map_test,p1_threshold_rules,1002,157,5,0.03184713375796178,0.46825396825396826,0.3323353293413174,7.10499999999999,0.04073057444737778,0.04073057444737778,0.04073057444737778,0.04073057444737778
held_out_map_test,p3_causal_tcn,1002,157,36,0.22929936305732485,0.18253968253968253,0.22954091816367264,3.8175000000000026,0.03411478069388913,0.040953054181163344,0.016036737531570006,0.008084453608610593
held_out_map_test,p4_gru,1002,157,31,0.19745222929936307,0.06349206349206349,0.08283433133732535,3.811000000000007,0.0339893139403818,0.03825119578532674,0.015691502033678997,0.005868639624378052
held_out_map_test,p5_compact_transformer,1002,157,42,0.267515923566879,0.25396825396825395,0.26447105788423153,5.841999999999999,0.03782857583229692,0.04169104104527627,0.016497606748826558,0.008976764511372772
