run_id,decision_index,decision_time,amcl_x,amcl_x__age_seconds,amcl_x__missing,amcl_y,amcl_y__age_seconds,amcl_y__missing,command_angular,command_angular__age_seconds,command_angular__missing,command_linear,command_linear__age_seconds,command_linear__missing,confidence_mean,confidence_mean__age_seconds,confidence_mean__missing,global_path_curvature,global_path_curvature__age_seconds,global_path_curvature__missing,global_path_length,global_path_length__age_seconds,global_path_length__missing,inference_latency_ms,inference_latency_ms__age_seconds,inference_latency_ms__missing,measured_angular,measured_angular__age_seconds,measured_angular__missing,measured_linear,measured_linear__age_seconds,measured_linear__missing,minimum_front_range,minimum_front_range__age_seconds,minimum_front_range__missing,minimum_left_range,minimum_left_range__age_seconds,minimum_left_range__missing,minimum_right_range,minimum_right_range__age_seconds,minimum_right_range__missing,odom_x,odom_x__age_seconds,odom_x__missing,odom_y,odom_y__age_seconds,odom_y__missing,pose_covariance_trace,pose_covariance_trace__age_seconds,pose_covariance_trace__missing,uncertainty_mean,uncertainty_mean__age_seconds,uncertainty_mean__missing,valid_return_fraction,valid_return_fraction__age_seconds,valid_return_fraction__missing
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,0,19.742,-1.2124218182102109,0.013999999999999346,0,-0.5511877323934244,0.013999999999999346,0,0.02626541070640087,0.013999999999999346,0,0.18121720850467682,0.013999999999999346,0,0.8556344578787685,0.0019999999999988916,0,0.5101416887409141,0.8870000000000005,0,2.4325381062209233,0.8870000000000005,0,8.992399215698242,0.0019999999999988916,0,0.028132407178150326,0.013999999999999346,0,0.1825385048982368,0.013999999999999346,0,1.2423958778381348,0.03200000000000003,0,0.4204697906970978,0.03200000000000003,0,0.0,0.03200000000000003,0,0.7771895442734534,0.013999999999999346,0,-0.051986466998758765,0.013999999999999346,0,0.0785061922687407,0.013999999999999346,0,0.009482863162126235,0.0019999999999988916,0,1.0,0.03200000000000003,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,1,20.242,-1.2124218182102109,0.5139999999999993,0,-0.5511877323934244,0.5139999999999993,0,0.019125785678625107,0.004000000000001336,0,0.18540871143341064,0.004000000000001336,0,0.9002246126796429,0.0010000000000012221,0,0.5688031348678184,0.3670000000000009,0,2.2334404000204624,0.3670000000000009,0,9.476875305175781,0.0010000000000012221,0,0.019539570450468537,0.00999999999999801,0,0.18549069762186138,0.00999999999999801,0,1.1686105728149414,0.030999999999998806,0,0.40068262815475464,0.030999999999998806,0,0.0,0.030999999999998806,0,0.8674727606527944,0.00999999999999801,0,-0.056425079645306866,0.00999999999999801,0,0.0785061922687407,0.5139999999999993,0,0.003950483133563362,0.0010000000000012221,0,1.0,0.030999999999998806,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,2,20.742,-1.2124218182102109,1.0139999999999993,0,-0.5511877323934244,1.0139999999999993,0,0.013101909309625626,0.0030000000000001137,0,0.1733957827091217,0.0030000000000001137,0,0.8994354641111567,0.021000000000000796,0,0.5688031348678184,0.8670000000000009,0,2.2334404000204624,0.8670000000000009,0,9.45965576171875,0.021000000000000796,0,0.01360519975372411,0.006000000000000227,0,0.17451913511959033,0.006000000000000227,0,1.0783333778381348,0.03300000000000125,0,0.392668753862381,0.03300000000000125,0,0.0,0.03300000000000125,0,0.958942638798978,0.006000000000000227,0,-0.059942287851856006,0.006000000000000227,0,0.0785061922687407,1.0139999999999993,0,0.004101275179130728,0.021000000000000796,0,1.0,0.03300000000000125,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,3,21.242,-0.9551673725888149,0.10999999999999943,0,-0.559400076012836,0.10999999999999943,0,0.01939106173813343,0.0019999999999988916,0,0.17652374505996704,0.0019999999999988916,0,0.8998215850333994,0.019999999999999574,0,0.5497705195586186,0.33800000000000097,0,2.025244797602869,0.33800000000000097,0,10.028639793395996,0.019999999999999574,0,0.01688862591989783,0.0019999999999988916,0,0.16844016313553406,0.0019999999999988916,0,1.022779941558838,0.03200000000000003,0,0.3983968198299408,0.03200000000000003,0,0.0,0.03200000000000003,0,1.0459081109711454,0.0019999999999988916,0,-0.06261270294876024,0.0019999999999988916,0,0.08510451905005784,0.10999999999999943,0,0.004101708507189865,0.019999999999999574,0,1.0,0.03200000000000003,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,4,21.742,-0.9551673725888149,0.6099999999999994,0,-0.559400076012836,0.6099999999999994,0,0.017932258546352386,0.06400000000000006,0,0.1706942319869995,0.06400000000000006,0,0.9001330329105258,0.01899999999999835,0,0.5497705195586186,0.838000000000001,0,2.025244797602869,0.838000000000001,0,9.0169095993042,0.01899999999999835,0,0.01821574942070651,0.03399999999999892,0,0.1708148941401107,0.03399999999999892,0,0.9463242292404175,0.030999999999998806,0,0.42713049054145813,0.030999999999998806,0,0.0,0.030999999999998806,0,1.1258571463803797,0.03399999999999892,0,-0.06435696775367038,0.03399999999999892,0,0.08510451905005784,0.6099999999999994,0,0.004072586598612631,0.01899999999999835,0,1.0,0.030999999999998806,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,5,22.242,-0.9551673725888149,1.1099999999999994,0,-0.559400076012836,1.1099999999999994,0,0.00472056120634079,0.06299999999999883,0,0.17300409078598022,0.06299999999999883,0,0.9008144276201104,0.02400000000000091,0,0.5791877010754968,0.31799999999999784,0,1.828520426216607,0.31799999999999784,0,9.357379913330078,0.02400000000000091,0,0.004720561211584752,0.030000000000001137,0,0.17300409078534473,0.030000000000001137,0,0.9029940366744995,0.03300000000000125,0,0.44571956992149353,0.03300000000000125,0,0.0,0.03300000000000125,0,1.2112724204243965,0.030000000000001137,0,-0.06545760309674077,0.030000000000001137,0,0.08510451905005784,1.1099999999999994,0,0.004029722556775137,0.02400000000000091,0,1.0,0.03300000000000125,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,6,22.742,-0.6893297510472427,0.13100000000000023,0,-0.5700975977091269,0.13100000000000023,0,0.00814748927950859,0.062000000000001165,0,0.16836825013160706,0.062000000000001165,0,0.9019654102794206,0.019999999999999574,0,0.5791877010754968,0.8179999999999978,0,1.828520426216607,0.8179999999999978,0,10.138728141784668,0.019999999999999574,0,0.008147489279473724,0.0259999999999998,0,0.16838816824046313,0.0259999999999998,0,0.8557050824165344,0.03200000000000003,0,0.4994887709617615,0.03200000000000003,0,0.0,0.03200000000000003,0,1.2984159184381368,0.0259999999999998,0,-0.06620984537800813,0.0259999999999998,0,0.10134759022516851,0.13100000000000023,0,0.0039576303842978906,0.019999999999999574,0,1.0,0.03200000000000003,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,7,23.242,-0.6893297510472427,0.6310000000000002,0,-0.5700975977091269,0.6310000000000002,0,0.02208874747157097,0.021999999999998465,0,0.16309428215026855,0.021999999999998465,0,0.9031961585581303,0.01899999999999835,0,1.1849656762469714,0.2859999999999978,0,1.6648094136243612,0.2859999999999978,0,8.937691688537598,0.01899999999999835,0,0.022645194284899438,0.021999999999998465,0,0.17500846087914837,0.021999999999998465,0,1.7133591175079346,0.030999999999998806,0,0.5358348488807678,0.030999999999998806,0,0.0,0.030999999999998806,0,1.3846736635058678,0.021999999999998465,0,-0.0665178769720302,0.021999999999998465,0,0.10134759022516851,0.6310000000000002,0,0.003886568209517769,0.01899999999999835,0,1.0,0.030999999999998806,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,8,23.742,-0.6893297510472427,1.1310000000000002,0,-0.5700975977091269,1.1310000000000002,0,0.05856633558869362,0.012000000000000455,0,0.15943530201911926,0.012000000000000455,0,0.9029698816500604,0.0030000000000001137,0,1.1849656762469714,0.7859999999999978,0,1.6648094136243612,0.7859999999999978,0,9.293542861938477,0.0,0,0.03997261822233403,0.018000000000000682,0,0.16105085611342423,0.018000000000000682,0,1.6398615837097168,0.0329999999999977,0,0.5926957130432129,0.0329999999999977,0,0.0,0.0329999999999977,0,1.4666432665021476,0.018000000000000682,0,-0.06583799349340023,0.018000000000000682,0,0.10134759022516851,1.1310000000000002,0,0.0038426357953993792,0.0,0,1.0,0.0329999999999977,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,9,24.242,-0.4418648306650146,0.013999999999999346,0,-0.5666091411097222,0.013999999999999346,0,-0.003727422561496496,0.013999999999999346,0,0.1613263636827469,0.013999999999999346,0,0.9034367492857078,0.11899999999999977,0,2.1188587933654532,0.26599999999999824,0,1.4746079481026,0.26599999999999824,0,9.681422233581543,0.11899999999999977,0,-0.00046310494087110286,0.013999999999999346,0,0.16057733297332547,0.013999999999999346,0,1.558603286743164,0.03200000000000003,0,0.6133090257644653,0.03200000000000003,0,0.0,0.03200000000000003,0,1.5457552322298198,0.013999999999999346,0,-0.06348002075162729,0.013999999999999346,0,0.10740132878901343,0.013999999999999346,0,0.003865714871868396,0.11899999999999977,0,1.0,0.03200000000000003,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,10,24.742,-0.4418648306650146,0.5139999999999993,0,-0.5666091411097222,0.5139999999999993,0,0.01586786098778248,0.003999999999997783,0,0.16556857526302338,0.003999999999997783,0,0.905061645930012,0.10299999999999798,0,2.1188587933654532,0.7659999999999982,0,1.4746079481026,0.7659999999999982,0,9.946264266967773,0.10299999999999798,0,0.018137780959338056,0.00999999999999801,0,0.16847501695169687,0.00999999999999801,0,1.481526494026184,0.030999999999998806,0,0.5597212910652161,0.030999999999998806,0,0.0,0.030999999999998806,0,1.6297692350095143,0.00999999999999801,0,-0.06015883984977152,0.00999999999999801,0,0.10740132878901343,0.5139999999999993,0,0.003755957417339412,0.10299999999999798,0,1.0,0.030999999999998806,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,11,25.242,-0.4418648306650146,1.0139999999999993,0,-0.5666091411097222,1.0139999999999993,0,0.01888589933514595,0.0030000000000001137,0,0.18104305863380432,0.0030000000000001137,0,0.9065738326326633,0.021000000000000796,0,2.0201421644852373,0.23699999999999832,0,1.3202182052408056,0.23699999999999832,0,9.11531925201416,0.021000000000000796,0,0.024728570133792607,0.006000000000000227,0,0.18069317219152983,0.006000000000000227,0,1.4038230180740356,0.0329999999999977,0,0.4993991255760193,0.0329999999999977,0,0.0,0.0329999999999977,0,1.7166307530195823,0.006000000000000227,0,-0.05603162666600417,0.006000000000000227,0,0.10740132878901343,1.0139999999999993,0,0.00360579816114632,0.021000000000000796,0,1.0,0.0329999999999977,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,12,25.742,-0.1806734662827014,0.03200000000000003,0,-0.5681017074816367,0.03200000000000003,0,0.02234315127134323,0.0019999999999988916,0,0.18043853342533112,0.0019999999999988916,0,0.9078710422602793,0.019999999999999574,0,2.0201421644852373,0.7369999999999983,0,1.3202182052408056,0.7369999999999983,0,10.118510246276855,0.019999999999999574,0,0.019169371575235936,0.0019999999999988916,0,0.18059907853601082,0.0019999999999988916,0,1.3176333904266357,0.03200000000000003,0,0.455107182264328,0.03200000000000003,0,0.0,0.03200000000000003,0,1.8068676328387716,0.0019999999999988916,0,-0.05097727957451464,0.0019999999999988916,0,0.11101030847621729,0.03200000000000003,0,0.003589485623281921,0.019999999999999574,0,1.0,0.03200000000000003,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,13,26.242,-0.1806734662827014,0.532,0,-0.5681017074816367,0.532,0,0.0017462396062910557,0.06400000000000006,0,0.18031786382198334,0.06400000000000006,0,0.9096512224494169,0.01899999999999835,0,2.140771410115118,0.21699999999999875,0,1.1744553125696156,0.21699999999999875,0,9.480889320373535,0.01899999999999835,0,0.002042445176285314,0.03399999999999892,0,0.18055552840296657,0.03399999999999892,0,1.2284377813339233,0.030999999999998806,0,0.4171523153781891,0.030999999999998806,0,0.0,0.030999999999998806,0,1.890960858016359,0.03399999999999892,0,-0.0455848188931922,0.03399999999999892,0,0.11101030847621729,0.532,0,0.003556717920968803,0.01899999999999835,0,1.0,0.030999999999998806,0
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,14,26.742,-0.1806734662827014,1.032,0,-0.5681017074816367,1.032,0,0.001884020515717566,0.06299999999999883,0,0.17150671780109406,0.06299999999999883,0,0.914585748144115,0.021000000000000796,0,2.140771410115118,0.7169999999999987,0,1.1744553125696156,0.7169999999999987,0,9.156277656555176,0.021000000000000796,0,0.0014725378025467607,0.029999999999997584,0,0.1716469398272043,0.029999999999997584,0,1.149656891822815,0.0329999999999977,0,0.38189634680747986,0.0329999999999977,0,0.0,0.0329999999999977,0,1.981132978003776,0.029999999999997584,0,-0.039363781989961294,0.029999999999997584,0,0.11101030847621729,1.032,0,0.00352598410567533,0.021000000000000796,0,1.0,0.0329999999999977,0
