run_id,decision_index,decision_time,amcl_x,amcl_x__age_seconds,amcl_x__missing,amcl_y,amcl_y__age_seconds,amcl_y__missing,command_angular,command_angular__age_seconds,command_angular__missing,command_linear,command_linear__age_seconds,command_linear__missing,global_path_curvature,global_path_curvature__age_seconds,global_path_curvature__missing,global_path_length,global_path_length__age_seconds,global_path_length__missing,measured_angular,measured_angular__age_seconds,measured_angular__missing,measured_linear,measured_linear__age_seconds,measured_linear__missing,minimum_front_range,minimum_front_range__age_seconds,minimum_front_range__missing,minimum_left_range,minimum_left_range__age_seconds,minimum_left_range__missing,minimum_right_range,minimum_right_range__age_seconds,minimum_right_range__missing,odom_x,odom_x__age_seconds,odom_x__missing,odom_y,odom_y__age_seconds,odom_y__missing,pose_covariance_trace,pose_covariance_trace__age_seconds,pose_covariance_trace__missing,valid_return_fraction,valid_return_fraction__age_seconds,valid_return_fraction__missing
af068cd4-784e-43e7-a0b4-c7e37335e914,0,15.62,-1.467732914028383,1.3999999999999986,0,-0.533074510255586,1.3999999999999986,0,0.0323299840092659,0.0589999999999975,0,0.18124933540821075,0.0589999999999975,0,0.5045018654422145,0.8899999999999988,0,2.4332994620028208,0.8899999999999988,0,0.03522423518909286,0.03199999999999825,0,0.1814097374679672,0.03199999999999825,0,1.245740294456482,0.010999999999997456,0,0.4045073091983795,0.010999999999997456,0,0.0,0.010999999999997456,0,0.7681245473945754,0.03199999999999825,0,-0.0472541451476116,0.03199999999999825,0,0.054853548454615916,1.3999999999999986,0,1.0,0.010999999999997456,0
af068cd4-784e-43e7-a0b4-c7e37335e914,1,16.12,-1.2153831549880705,0.49600000000000044,0,-0.550478617731712,0.49600000000000044,0,0.024345606565475464,0.02499999999999858,0,0.18381837010383606,0.02499999999999858,0,0.5023867247726818,0.3699999999999992,0,2.231896197820404,0.3699999999999992,0,0.025421293452479038,0.027999999999998693,0,0.18471665680407368,0.027999999999998693,0,0.5156340003013611,0.010000000000001563,0,0.38462138175964355,0.010000000000001563,0,0.0,0.010000000000001563,0,0.858263139162323,0.027999999999998693,0,-0.05215326060649724,0.027999999999998693,0,0.08119912759351992,0.49600000000000044,0,1.0,0.010000000000001563,0
af068cd4-784e-43e7-a0b4-c7e37335e914,2,16.62,-1.2153831549880705,0.9960000000000004,0,-0.550478617731712,0.9960000000000004,0,-0.002208661288022995,0.02400000000000091,0,0.0133197121322155,0.02400000000000091,0,0.5023867247726818,0.8699999999999992,0,2.231896197820404,0.8699999999999992,0,0.0053670760244535,0.02400000000000091,0,0.017562365159379256,0.02400000000000091,0,0.4642051160335541,0.009000000000000341,0,0.3953554928302765,0.009000000000000341,0,0.0,0.009000000000000341,0,0.9054209692717167,0.02400000000000091,0,-0.05425633304742756,0.02400000000000091,0,0.08119912759351992,0.9960000000000004,0,1.0,0.009000000000000341,0
af068cd4-784e-43e7-a0b4-c7e37335e914,3,17.12,-1.2153831549880705,1.4960000000000004,0,-0.550478617731712,1.4960000000000004,0,-0.0029086368158459663,0.013999999999999346,0,0.015068456530570984,0.013999999999999346,0,0.47168570100586105,0.46399999999999864,0,2.13319161933689,0.46399999999999864,0,-0.007898420095484263,0.019999999999999574,0,0.01227158308028479,0.019999999999999574,0,0.45604178309440613,0.010999999999999233,0,0.38707783818244934,0.010999999999999233,0,0.0,0.010999999999999233,0,0.9113035670771709,0.019999999999999574,0,-0.05450728904603138,0.019999999999999574,0,0.08119912759351992,1.4960000000000004,0,1.0,0.010999999999999233,0
af068cd4-784e-43e7-a0b4-c7e37335e914,4,17.62,-1.2153831549880705,1.9960000000000004,0,-0.550478617731712,1.9960000000000004,0,-0.005326860584318638,0.04299999999999926,0,-0.013307041488587856,0.04299999999999926,0,0.47168570100586105,0.9639999999999986,0,2.13319161933689,0.9639999999999986,0,-0.004838554088622939,0.015999999999998238,0,-0.013328145816957996,0.015999999999998238,0,0.4541524350643158,0.012999999999998124,0,0.3977736830711365,0.012999999999998124,0,0.0,0.012999999999998124,0,0.9138490712290188,0.015999999999998238,0,-0.05461767374584522,0.015999999999998238,0,0.08119912759351992,1.9960000000000004,0,1.0,0.012999999999998124,0
af068cd4-784e-43e7-a0b4-c7e37335e914,5,18.12,0.0,2.0,1,0.0,2.0,1,0.0721849724650383,0.04499999999999815,0,-0.11805535852909088,0.04499999999999815,0,2.2180074103690535,0.44399999999999906,0,4.997978398332254,0.44399999999999906,0,0.06340051098572419,0.009000000000000341,0,-0.11817217530120845,0.009000000000000341,0,0.4935579001903534,0.009000000000000341,0,0.3961934447288513,0.009000000000000341,0,0.0,0.009000000000000341,0,0.8849823989138208,0.009000000000000341,0,-0.05318364759460752,0.009000000000000341,0,0.0,2.0,1,1.0,0.009000000000000341,0
af068cd4-784e-43e7-a0b4-c7e37335e914,6,18.62,0.0,2.0,1,0.0,2.0,1,0.07086686789989471,0.04400000000000048,0,-0.10380268096923828,0.04400000000000048,0,2.2180074103690535,0.9439999999999991,0,4.997978398332254,0.9439999999999991,0,0.07086686789982155,0.007999999999999119,0,-0.10380268096924125,0.007999999999999119,0,0.535674512386322,0.010999999999999233,0,0.40516233444213867,0.010999999999999233,0,0.0,0.010999999999999233,0,0.8286985500038715,0.007999999999999119,0,-0.05166026904386069,0.007999999999999119,0,0.0,2.0,1,1.0,0.010999999999999233,0
af068cd4-784e-43e7-a0b4-c7e37335e914,7,19.12,0.0,2.0,1,0.0,2.0,1,0.060053322464227676,0.004000000000001336,0,-0.09852423518896103,0.004000000000001336,0,2.076263781067325,0.41499999999999915,0,4.919558414852826,0.41499999999999915,0,0.05534652546523816,0.004000000000001336,0,-0.09895009473015284,0.004000000000001336,0,0.6003320813179016,0.010000000000001563,0,0.4258420169353485,0.010000000000001563,0,0.0,0.010000000000001563,0,0.7768043602906805,0.004000000000001336,0,-0.05224740247916905,0.004000000000001336,0,0.0,2.0,1,1.0,0.010000000000001563,0
af068cd4-784e-43e7-a0b4-c7e37335e914,8,19.62,0.0,2.0,1,0.0,2.0,1,0.06234869733452797,0.03300000000000125,0,-0.1020357757806778,0.03300000000000125,0,2.076263781067325,0.9149999999999991,0,4.919558414852826,0.9149999999999991,0,0.06234869732326983,0.0,0,-0.10203577578097867,0.0,0,0.6594638228416443,0.009000000000000341,0,0.43915480375289917,0.009000000000000341,0,0.0,0.009000000000000341,0,0.7272910497109174,0.0,0,-0.054165636051960904,0.0,0,0.0,2.0,1,1.0,0.009000000000000341,0
af068cd4-784e-43e7-a0b4-c7e37335e914,9,20.12,0.0,2.0,1,0.0,2.0,1,0.019954459741711617,0.028999999999999915,0,-0.10433293133974075,0.028999999999999915,0,2.1096390402569534,0.39199999999999946,0,4.853466370198681,0.39199999999999946,0,0.030830759555758674,0.03200000000000003,0,-0.09062829470856311,0.03200000000000003,0,0.7003768682479858,0.010999999999999233,0,0.47129490971565247,0.010999999999999233,0,0.0,0.010999999999999233,0,0.6798675255008995,0.03200000000000003,0,-0.0572596900767316,0.03200000000000003,0,0.0,2.0,1,1.0,0.010999999999999233,0
af068cd4-784e-43e7-a0b4-c7e37335e914,10,20.62,0.0,2.0,1,0.0,2.0,1,0.004461788572371006,0.027999999999998693,0,-0.11790736019611359,0.027999999999998693,0,2.1096390402569534,0.8919999999999995,0,4.853466370198681,0.8919999999999995,0,0.003762078471498887,0.027999999999998693,0,-0.11441540718079568,0.027999999999998693,0,0.7568104863166809,0.00999999999999801,0,0.49411284923553467,0.00999999999999801,0,0.0,0.00999999999999801,0,0.6256284547367613,0.027999999999998693,0,-0.06170734561144534,0.027999999999998693,0,0.0,2.0,1,1.0,0.00999999999999801,0
af068cd4-784e-43e7-a0b4-c7e37335e914,11,21.12,0.0,2.0,1,0.0,2.0,1,-0.014278121292591095,0.018000000000000682,0,-0.12056948244571686,0.018000000000000682,0,2.361078774624348,0.45899999999999963,0,4.81897862100077,0.45899999999999963,0,-0.007693859748503127,0.02400000000000091,0,-0.12256639450789478,0.02400000000000091,0,0.8232636451721191,0.009000000000000341,0,0.5326628684997559,0.009000000000000341,0,0.0,0.009000000000000341,0,0.5662179356810852,0.02400000000000091,0,-0.06670237526925701,0.02400000000000091,0,0.0,2.0,1,1.0,0.009000000000000341,0
af068cd4-784e-43e7-a0b4-c7e37335e914,12,21.62,-1.4633627391415385,0.09199999999999875,0,-0.5781763175801853,0.09199999999999875,0,-0.02262575924396515,0.019999999999999574,0,-0.11231666058301926,0.019999999999999574,0,2.361078774624348,0.9589999999999996,0,4.81897862100077,0.9589999999999996,0,-0.01416348479679994,0.019999999999999574,0,-0.1133585423231109,0.019999999999999574,0,0.8778694272041321,0.010999999999999233,0,0.5694773197174072,0.010999999999999233,0,0.0,0.010999999999999233,0,0.5079182963138701,0.019999999999999574,0,-0.0713422300715596,0.019999999999999574,0,0.08870074176271239,0.09199999999999875,0,1.0,0.010999999999999233,0
af068cd4-784e-43e7-a0b4-c7e37335e914,13,22.12,-1.4633627391415385,0.5919999999999987,0,-0.5781763175801853,0.5919999999999987,0,-0.04907732829451561,0.00999999999999801,0,-0.10763446241617203,0.00999999999999801,0,1.7388850577653772,0.43900000000000006,0,4.53051114075283,0.43900000000000006,0,-0.039671584963683046,0.015999999999998238,0,-0.10818151384592485,0.015999999999998238,0,0.9192694425582886,0.00999999999999801,0,0.6094686388969421,0.00999999999999801,0,0.0,0.00999999999999801,0,0.4533147999706785,0.015999999999998238,0,-0.07514655401303014,0.015999999999998238,0,0.08870074176271239,0.5919999999999987,0,1.0,0.00999999999999801,0
af068cd4-784e-43e7-a0b4-c7e37335e914,14,22.62,-1.4633627391415385,1.0919999999999987,0,-0.5781763175801853,1.0919999999999987,0,-0.06421972811222076,0.038999999999997925,0,-0.08739279210567474,0.038999999999997925,0,1.7388850577653772,0.9390000000000001,0,4.53051114075283,0.9390000000000001,0,-0.06310731170937464,0.012000000000000455,0,-0.08921681676097767,0.012000000000000455,0,0.9593017101287842,0.009000000000000341,0,0.6366552710533142,0.009000000000000341,0,0.0,0.009000000000000341,0,0.40362790831268625,0.012000000000000455,0,-0.07759606422524477,0.012000000000000455,0,0.08870074176271239,1.0919999999999987,0,1.0,0.009000000000000341,0
af068cd4-784e-43e7-a0b4-c7e37335e914,15,23.12,-1.4633627391415385,1.5919999999999987,0,-0.5781763175801853,1.5919999999999987,0,-0.06366640329360962,0.038000000000000256,0,-0.0759693905711174,0.038000000000000256,0,2.020356198133185,0.41000000000000014,0,4.482191659963472,0.41000000000000014,0,-0.0644594368770319,0.007999999999999119,0,-0.07628972591245305,0.007999999999999119,0,1.011786937713623,0.010999999999999233,0,0.677733838558197,0.010999999999999233,0,0.0,0.010999999999999233,0,0.3612305322900861,0.007999999999999119,0,-0.07845773981547403,0.007999999999999119,0,0.08870074176271239,1.5919999999999987,0,1.0,0.010999999999999233,0
